[18:18:43] info:  8_Feb_2022_18.18
[18:18:43] info: MQTT connection respone successfull
[18:18:43] info: Subsribe response v2/server/simulated/cmd
[18:18:43] info: Subsribe response v2/server/simulated/cmd
[18:19:46] warning: Invalid size of payload!
[18:19:46] error: Received invalid SLAM message!
[18:19:46] error: Got invalid SLAM message!
[18:19:47] warning: Invalid size of payload!
[18:19:47] error: Received invalid SLAM message!
[18:19:48] warning: Invalid size of payload!
[18:19:48] error: Received invalid SLAM message!
[18:19:49] warning: Invalid size of payload!
[18:19:49] error: Received invalid SLAM message!
[18:19:50] info: Init pose selected: 0, 0, 0
[18:19:50] error: Got invalid SLAM message!
[18:19:50] error: Got invalid SLAM message!
[18:19:50] error: Got invalid SLAM message!
[18:19:50] warning: Invalid size of payload!
[18:19:50] error: Received invalid SLAM message!
[18:19:50] error: Got invalid SLAM message!
[18:19:50] info: Got a request to publish to: v2/server/thomas/cmd
[18:19:51] warning: Invalid size of payload!
[18:19:51] error: Received invalid SLAM message!
[18:19:51] error: Got invalid SLAM message!
[18:19:52] warning: Invalid size of payload!
[18:19:52] error: Received invalid SLAM message!
[18:19:52] error: Got invalid SLAM message!
[18:19:53] warning: Invalid size of payload!
[18:19:53] error: Received invalid SLAM message!
[18:19:53] error: Got invalid SLAM message!
[18:19:54] warning: Invalid size of payload!
[18:19:54] error: Received invalid SLAM message!
[18:19:54] error: Got invalid SLAM message!
[18:19:55] warning: Invalid size of payload!
[18:19:55] error: Received invalid SLAM message!
[18:19:55] error: Got invalid SLAM message!
[18:19:56] warning: Invalid size of payload!
[18:19:56] error: Received invalid SLAM message!
[18:19:56] error: Got invalid SLAM message!
[18:19:57] warning: Invalid size of payload!
[18:19:57] error: Received invalid SLAM message!
[18:19:57] error: Got invalid SLAM message!
[18:19:58] warning: Invalid size of payload!
[18:19:58] error: Received invalid SLAM message!
[18:19:58] error: Got invalid SLAM message!
[18:19:59] warning: Invalid size of payload!
[18:19:59] error: Received invalid SLAM message!
[18:19:59] error: Got invalid SLAM message!
[18:20:00] warning: Invalid size of payload!
[18:20:00] error: Received invalid SLAM message!
[18:20:00] error: Got invalid SLAM message!
[18:20:01] warning: Invalid size of payload!
[18:20:01] error: Received invalid SLAM message!
[18:20:01] error: Got invalid SLAM message!
[18:20:02] warning: Invalid size of payload!
[18:20:02] error: Received invalid SLAM message!
[18:20:02] error: Got invalid SLAM message!
[18:20:03] warning: Invalid size of payload!
[18:20:03] error: Received invalid SLAM message!
[18:20:03] error: Got invalid SLAM message!
[18:20:04] warning: Invalid size of payload!
[18:20:04] error: Received invalid SLAM message!
[18:20:04] error: Got invalid SLAM message!
[18:20:05] warning: Invalid size of payload!
[18:20:05] error: Received invalid SLAM message!
[18:20:05] error: Got invalid SLAM message!
[18:20:06] warning: Invalid size of payload!
[18:20:06] error: Received invalid SLAM message!
[18:20:06] error: Got invalid SLAM message!
[18:20:07] warning: Invalid size of payload!
[18:20:07] error: Received invalid SLAM message!
[18:20:07] error: Got invalid SLAM message!
[18:20:08] warning: Invalid size of payload!
[18:20:08] error: Received invalid SLAM message!
[18:20:08] error: Got invalid SLAM message!
[18:20:09] warning: Invalid size of payload!
[18:20:09] error: Received invalid SLAM message!
[18:20:09] error: Got invalid SLAM message!
[18:20:10] warning: Invalid size of payload!
[18:20:10] error: Received invalid SLAM message!
[18:20:10] error: Got invalid SLAM message!
[18:20:11] warning: Invalid size of payload!
[18:20:11] error: Received invalid SLAM message!
[18:20:11] error: Got invalid SLAM message!
[18:20:12] warning: Invalid size of payload!
[18:20:12] error: Received invalid SLAM message!
[18:20:12] error: Got invalid SLAM message!
[18:20:13] warning: Invalid size of payload!
[18:20:13] error: Received invalid SLAM message!
[18:20:13] error: Got invalid SLAM message!
[18:20:14] warning: Invalid size of payload!
[18:20:14] error: Received invalid SLAM message!
[18:20:14] error: Got invalid SLAM message!
[18:20:15] warning: Invalid size of payload!
[18:20:15] error: Received invalid SLAM message!
[18:20:15] error: Got invalid SLAM message!
[18:20:16] warning: Invalid size of payload!
[18:20:16] error: Received invalid SLAM message!
[18:20:16] error: Got invalid SLAM message!
[18:20:17] warning: Invalid size of payload!
[18:20:17] error: Received invalid SLAM message!
[18:20:17] error: Got invalid SLAM message!
[18:20:18] warning: Invalid size of payload!
[18:20:18] error: Received invalid SLAM message!
[18:20:18] error: Got invalid SLAM message!
[18:20:19] warning: Invalid size of payload!
[18:20:19] error: Received invalid SLAM message!
[18:20:19] error: Got invalid SLAM message!
[18:20:20] warning: Invalid size of payload!
[18:20:20] error: Received invalid SLAM message!
[18:20:20] error: Got invalid SLAM message!
[18:20:21] warning: Invalid size of payload!
[18:20:21] error: Received invalid SLAM message!
[18:20:21] error: Got invalid SLAM message!
[18:20:22] warning: Invalid size of payload!
[18:20:22] error: Received invalid SLAM message!
[18:20:22] error: Got invalid SLAM message!
[18:20:23] warning: Invalid size of payload!
[18:20:23] error: Received invalid SLAM message!
[18:20:23] error: Got invalid SLAM message!
[18:20:24] warning: Invalid size of payload!
[18:20:24] error: Received invalid SLAM message!
[18:20:24] error: Got invalid SLAM message!
[18:20:25] warning: Invalid size of payload!
[18:20:25] error: Received invalid SLAM message!
[18:20:25] error: Got invalid SLAM message!
[18:20:26] warning: Invalid size of payload!
[18:20:26] error: Received invalid SLAM message!
[18:20:26] error: Got invalid SLAM message!
[18:20:27] warning: Invalid size of payload!
[18:20:27] error: Received invalid SLAM message!
[18:20:27] error: Got invalid SLAM message!
[18:20:28] warning: Invalid size of payload!
[18:20:28] error: Received invalid SLAM message!
[18:20:28] error: Got invalid SLAM message!
[18:20:29] warning: Invalid size of payload!
[18:20:29] error: Received invalid SLAM message!
[18:20:29] error: Got invalid SLAM message!
[18:20:30] warning: Invalid size of payload!
[18:20:30] error: Received invalid SLAM message!
[18:20:30] error: Got invalid SLAM message!
[18:20:31] warning: Invalid size of payload!
[18:20:31] error: Received invalid SLAM message!
[18:20:31] error: Got invalid SLAM message!
[18:20:32] warning: Invalid size of payload!
[18:20:32] error: Received invalid SLAM message!
[18:20:32] error: Got invalid SLAM message!
[18:20:33] warning: Invalid size of payload!
[18:20:33] error: Received invalid SLAM message!
[18:20:33] error: Got invalid SLAM message!
[18:20:34] warning: Invalid size of payload!
[18:20:34] error: Received invalid SLAM message!
[18:20:34] error: Got invalid SLAM message!
[18:20:35] warning: Invalid size of payload!
[18:20:35] error: Received invalid SLAM message!
[18:20:35] error: Got invalid SLAM message!
[18:20:36] warning: Invalid size of payload!
[18:20:36] error: Received invalid SLAM message!
[18:20:36] error: Got invalid SLAM message!
[18:20:37] warning: Invalid size of payload!
[18:20:37] error: Received invalid SLAM message!
[18:20:37] error: Got invalid SLAM message!
[18:20:38] warning: Invalid size of payload!
[18:20:38] error: Received invalid SLAM message!
[18:20:38] error: Got invalid SLAM message!
[18:20:39] warning: Invalid size of payload!
[18:20:39] error: Received invalid SLAM message!
[18:20:39] error: Got invalid SLAM message!
[18:20:40] warning: Invalid size of payload!
[18:20:40] error: Received invalid SLAM message!
[18:20:40] error: Got invalid SLAM message!
[18:20:41] warning: Invalid size of payload!
[18:20:41] error: Received invalid SLAM message!
[18:20:41] error: Got invalid SLAM message!
[18:20:42] warning: Invalid size of payload!
[18:20:42] error: Received invalid SLAM message!
[18:20:42] error: Got invalid SLAM message!
[18:20:43] warning: Invalid size of payload!
[18:20:43] error: Received invalid SLAM message!
[18:20:43] error: Got invalid SLAM message!
[18:20:44] warning: Invalid size of payload!
[18:20:44] error: Received invalid SLAM message!
[18:20:44] error: Got invalid SLAM message!
[18:20:45] warning: Invalid size of payload!
[18:20:45] error: Received invalid SLAM message!
[18:20:45] error: Got invalid SLAM message!
[18:20:46] warning: Invalid size of payload!
[18:20:46] error: Received invalid SLAM message!
[18:20:46] error: Got invalid SLAM message!
[18:20:47] warning: Invalid size of payload!
[18:20:47] error: Received invalid SLAM message!
[18:20:47] error: Got invalid SLAM message!
[18:20:48] warning: Invalid size of payload!
[18:20:48] error: Received invalid SLAM message!
[18:20:48] error: Got invalid SLAM message!
[18:20:49] warning: Invalid size of payload!
[18:20:49] error: Received invalid SLAM message!
[18:20:49] error: Got invalid SLAM message!
[18:20:50] warning: Invalid size of payload!
[18:20:50] error: Received invalid SLAM message!
[18:20:50] error: Got invalid SLAM message!
[18:20:51] warning: Invalid size of payload!
[18:20:51] error: Received invalid SLAM message!
[18:20:51] error: Got invalid SLAM message!
[18:20:52] warning: Invalid size of payload!
[18:20:52] error: Received invalid SLAM message!
[18:20:52] error: Got invalid SLAM message!
[18:20:53] warning: Invalid size of payload!
[18:20:53] error: Received invalid SLAM message!
[18:20:53] error: Got invalid SLAM message!
[18:20:54] warning: Invalid size of payload!
[18:20:54] error: Received invalid SLAM message!
[18:20:54] error: Got invalid SLAM message!
[18:20:55] warning: Invalid size of payload!
[18:20:55] error: Received invalid SLAM message!
[18:20:55] error: Got invalid SLAM message!
[18:20:56] warning: Invalid size of payload!
[18:20:56] error: Received invalid SLAM message!
[18:20:56] error: Got invalid SLAM message!
[18:20:57] warning: Invalid size of payload!
[18:20:57] error: Received invalid SLAM message!
[18:20:57] error: Got invalid SLAM message!
[18:20:58] warning: Invalid size of payload!
[18:20:58] error: Received invalid SLAM message!
[18:20:58] error: Got invalid SLAM message!
[18:20:59] warning: Invalid size of payload!
[18:20:59] error: Received invalid SLAM message!
[18:20:59] error: Got invalid SLAM message!
[18:21:00] warning: Invalid size of payload!
[18:21:00] error: Received invalid SLAM message!
[18:21:00] error: Got invalid SLAM message!
[18:21:01] warning: Invalid size of payload!
[18:21:01] error: Received invalid SLAM message!
[18:21:01] error: Got invalid SLAM message!
[18:21:02] warning: Invalid size of payload!
[18:21:02] error: Received invalid SLAM message!
[18:21:02] error: Got invalid SLAM message!
[18:21:03] warning: Invalid size of payload!
[18:21:03] error: Received invalid SLAM message!
[18:21:03] error: Got invalid SLAM message!
[18:21:04] warning: Invalid size of payload!
[18:21:04] error: Received invalid SLAM message!
[18:21:04] error: Got invalid SLAM message!
[18:21:05] warning: Invalid size of payload!
[18:21:05] error: Received invalid SLAM message!
[18:21:05] error: Got invalid SLAM message!
[18:21:06] warning: Invalid size of payload!
[18:21:06] error: Received invalid SLAM message!
[18:21:06] error: Got invalid SLAM message!
[18:21:07] warning: Invalid size of payload!
[18:21:07] error: Received invalid SLAM message!
[18:21:07] error: Got invalid SLAM message!
[18:21:08] warning: Invalid size of payload!
[18:21:08] error: Received invalid SLAM message!
[18:21:08] error: Got invalid SLAM message!
[18:21:09] warning: Invalid size of payload!
[18:21:09] error: Received invalid SLAM message!
[18:21:09] error: Got invalid SLAM message!
[18:21:10] warning: Invalid size of payload!
[18:21:10] error: Received invalid SLAM message!
[18:21:10] error: Got invalid SLAM message!
[18:21:11] warning: Invalid size of payload!
[18:21:11] error: Received invalid SLAM message!
[18:21:11] error: Got invalid SLAM message!
[18:21:12] warning: Invalid size of payload!
[18:21:12] error: Received invalid SLAM message!
[18:21:12] error: Got invalid SLAM message!
[18:21:13] warning: Invalid size of payload!
[18:21:13] error: Received invalid SLAM message!
[18:21:13] error: Got invalid SLAM message!
[18:21:14] warning: Invalid size of payload!
[18:21:14] error: Received invalid SLAM message!
[18:21:14] error: Got invalid SLAM message!
[18:21:16] warning: Invalid size of payload!
[18:21:16] error: Received invalid SLAM message!
[18:21:16] error: Got invalid SLAM message!
[18:21:16] warning: Invalid size of payload!
[18:21:16] error: Received invalid SLAM message!
[18:21:16] error: Got invalid SLAM message!
[18:21:17] warning: Invalid size of payload!
[18:21:17] error: Received invalid SLAM message!
[18:21:17] error: Got invalid SLAM message!
[18:21:19] warning: Invalid size of payload!
[18:21:19] error: Received invalid SLAM message!
[18:21:19] error: Got invalid SLAM message!
[18:21:19] warning: Invalid size of payload!
[18:21:19] error: Received invalid SLAM message!
[18:21:19] error: Got invalid SLAM message!
[18:21:21] warning: Invalid size of payload!
[18:21:21] error: Received invalid SLAM message!
[18:21:21] error: Got invalid SLAM message!
[18:21:21] warning: Invalid size of payload!
[18:21:21] error: Received invalid SLAM message!
[18:21:21] error: Got invalid SLAM message!
[18:21:23] warning: Invalid size of payload!
[18:21:23] error: Received invalid SLAM message!
[18:21:23] error: Got invalid SLAM message!
[18:21:23] warning: Invalid size of payload!
[18:21:23] error: Received invalid SLAM message!
[18:21:23] error: Got invalid SLAM message!
[18:21:25] warning: Invalid size of payload!
[18:21:25] error: Received invalid SLAM message!
[18:21:25] error: Got invalid SLAM message!
[18:21:25] warning: Invalid size of payload!
[18:21:25] error: Received invalid SLAM message!
[18:21:25] error: Got invalid SLAM message!
[18:21:27] warning: Invalid size of payload!
[18:21:27] error: Received invalid SLAM message!
[18:21:27] error: Got invalid SLAM message!
[18:21:28] warning: Invalid size of payload!
[18:21:28] error: Received invalid SLAM message!
[18:21:28] error: Got invalid SLAM message!
[18:21:29] warning: Invalid size of payload!
[18:21:29] error: Received invalid SLAM message!
[18:21:29] error: Got invalid SLAM message!
[18:21:30] warning: Invalid size of payload!
[18:21:30] error: Received invalid SLAM message!
[18:21:30] error: Got invalid SLAM message!
[18:21:31] warning: Invalid size of payload!
[18:21:31] error: Received invalid SLAM message!
[18:21:31] error: Got invalid SLAM message!
[18:21:32] warning: Invalid size of payload!
[18:21:32] error: Received invalid SLAM message!
[18:21:32] error: Got invalid SLAM message!
[18:21:33] warning: Invalid size of payload!
[18:21:33] error: Received invalid SLAM message!
[18:21:33] error: Got invalid SLAM message!
[18:21:34] warning: Invalid size of payload!
[18:21:34] error: Received invalid SLAM message!
[18:21:34] error: Got invalid SLAM message!
[18:21:35] warning: Invalid size of payload!
[18:21:35] error: Received invalid SLAM message!
[18:21:35] error: Got invalid SLAM message!
[18:21:36] warning: Invalid size of payload!
[18:21:36] error: Received invalid SLAM message!
[18:21:36] error: Got invalid SLAM message!
[18:21:37] warning: Invalid size of payload!
[18:21:37] error: Received invalid SLAM message!
[18:21:37] error: Got invalid SLAM message!
[18:21:38] warning: Invalid size of payload!
[18:21:38] error: Received invalid SLAM message!
[18:21:38] error: Got invalid SLAM message!
[18:21:39] warning: Invalid size of payload!
[18:21:39] error: Received invalid SLAM message!
[18:21:39] error: Got invalid SLAM message!
[18:21:40] warning: Invalid size of payload!
[18:21:40] error: Received invalid SLAM message!
[18:21:40] error: Got invalid SLAM message!
[18:21:41] warning: Invalid size of payload!
[18:21:41] error: Received invalid SLAM message!
[18:21:41] error: Got invalid SLAM message!
[18:21:42] warning: Invalid size of payload!
[18:21:42] error: Received invalid SLAM message!
[18:21:42] error: Got invalid SLAM message!
[18:21:46] warning: Invalid size of payload!
[18:21:46] error: Received invalid SLAM message!
[18:21:46] error: Got invalid SLAM message!
[18:21:47] warning: Invalid size of payload!
[18:21:47] error: Received invalid SLAM message!
[18:21:47] error: Got invalid SLAM message!
[18:21:48] warning: Invalid size of payload!
[18:21:48] error: Received invalid SLAM message!
[18:21:48] error: Got invalid SLAM message!
[18:21:49] warning: Invalid size of payload!
[18:21:49] error: Received invalid SLAM message!
[18:21:49] error: Got invalid SLAM message!
[18:21:50] warning: Invalid size of payload!
[18:21:50] error: Received invalid SLAM message!
[18:21:50] error: Got invalid SLAM message!
[18:21:51] warning: Invalid size of payload!
