[12:26:37] info: 10_Feb_2022_12.26
[12:27:37] error: Connection failure
[12:27:37] error: MQTT connection response failed
[12:27:37] error: Could not connect!
[12:27:37] error: Connection failure
[12:27:37] error: Subsribe to robot error!
[12:27:37] error: Subscribe to simulator error!
[12:34:24] warning: Simulation bad publish?
[12:34:24] warning: Simulation bad publish?
[12:34:24] warning: Simulation bad publish?
[12:34:24] warning: Simulation bad publish?
[12:34:24] warning: Simulation bad publish?
[12:34:24] warning: Simulation bad publish?
[12:34:25] warning: Simulation bad publish?
[12:34:25] warning: Simulation bad publish?
[12:34:25] warning: Simulation bad publish?
[12:34:25] warning: Simulation bad publish?
[12:34:25] warning: Simulation bad publish?
[12:34:25] warning: Simulation bad publish?
[12:34:25] warning: Simulation bad publish?
[12:34:25] warning: Simulation bad publish?
[12:34:25] warning: Simulation bad publish?
[12:34:26] warning: Simulation bad publish?
[12:34:26] warning: Simulation bad publish?
[12:34:26] warning: Simulation bad publish?
[12:34:26] warning: Simulation bad publish?
[12:34:26] warning: Simulation bad publish?
[12:34:26] warning: Simulation bad publish?
[12:34:26] warning: Simulation bad publish?
[12:34:26] warning: Simulation bad publish?
[12:34:26] warning: Simulation bad publish?
[12:34:27] warning: Simulation bad publish?
[12:34:27] warning: Simulation bad publish?
[12:34:27] warning: Simulation bad publish?
[12:34:27] warning: Simulation bad publish?
[12:34:27] warning: Simulation bad publish?
[12:34:27] warning: Simulation bad publish?
[12:34:27] warning: Simulation bad publish?
[12:34:27] warning: Simulation bad publish?
[12:34:27] warning: Simulation bad publish?
[12:34:27] warning: Simulation bad publish?
[12:34:28] warning: Simulation bad publish?
[12:34:28] warning: Simulation bad publish?
[12:34:28] warning: Simulation bad publish?
[12:34:28] warning: Simulation bad publish?
[12:34:28] warning: Simulation bad publish?
[12:34:28] warning: Simulation bad publish?
[12:34:28] warning: Simulation bad publish?
[12:34:28] warning: Simulation bad publish?
[12:34:28] warning: Simulation bad publish?
[12:34:29] warning: Simulation bad publish?
[12:34:29] warning: Simulation bad publish?
[12:34:29] warning: Simulation bad publish?
[12:34:29] warning: Simulation bad publish?
[12:34:29] warning: Simulation bad publish?
[12:34:29] warning: Simulation bad publish?
[12:34:29] warning: Simulation bad publish?
[12:34:29] warning: Simulation bad publish?
[12:34:29] warning: Simulation bad publish?
[12:34:30] warning: Simulation bad publish?
[12:34:30] warning: Simulation bad publish?
[12:34:30] warning: Simulation bad publish?
[12:34:30] warning: Simulation bad publish?
[12:34:30] warning: Simulation bad publish?
[12:34:30] warning: Simulation bad publish?
[12:34:30] warning: Simulation bad publish?
[12:34:30] warning: Simulation bad publish?
[12:34:30] warning: Simulation bad publish?
[12:34:31] warning: Simulation bad publish?
[12:34:31] warning: Simulation bad publish?
[12:34:31] warning: Simulation bad publish?
[12:34:31] warning: Simulation bad publish?
[12:34:31] warning: Simulation bad publish?
[12:34:31] warning: Simulation bad publish?
[12:34:31] warning: Simulation bad publish?
[12:34:31] warning: Simulation bad publish?
[12:34:31] warning: Simulation bad publish?
[12:34:32] warning: Simulation bad publish?
[12:34:32] warning: Simulation bad publish?
[12:34:32] warning: Simulation bad publish?
[12:34:32] warning: Simulation bad publish?
[12:34:32] warning: Simulation bad publish?
[12:34:32] warning: Simulation bad publish?
[12:34:32] warning: Simulation bad publish?
[12:34:32] warning: Simulation bad publish?
[12:34:32] warning: Simulation bad publish?
[12:34:33] warning: Simulation bad publish?
[12:34:33] warning: Simulation bad publish?
[12:34:33] warning: Simulation bad publish?
[12:34:33] warning: Simulation bad publish?
[12:34:33] warning: Simulation bad publish?
