[16:12:25] info: 14_Feb_2022_16.12
[16:12:25] info: MQTT connection respone successfull
[16:12:25] info: Subsribe response v2/server/simulated/cmd
[16:12:25] info: Subsribe response v2/server/simulated/cmd
[16:12:39] info: Init pose selected: -20, -20, -20
[16:12:39] info: x: 0, y: 0, theta: 0
[16:12:39] info: x: 0, y: 0, theta: 0
[16:12:40] info: Got a request to publish to: v2/server/NRF_5/init
[16:12:40] info: x: 0, y: 0, theta: 0
[16:12:47] info: x: 0, y: 0, theta: 0
[16:12:52] info: x: 0, y: 0, theta: 0
[16:12:57] info: x: 0, y: 0, theta: 0
[16:13:02] info: x: 0, y: 0, theta: 0
[16:13:07] info: x: 0, y: 0, theta: 0
[16:13:12] info: x: 0, y: 0, theta: 0
[16:13:17] info: x: 0, y: 0, theta: 0
[16:13:22] info: x: 0, y: 0, theta: 0
[16:13:27] info: x: 0, y: 0, theta: 0
[16:13:32] info: x: 0, y: 0, theta: 0
[16:13:37] info: x: 0, y: 0, theta: 0
[16:13:42] info: x: 0, y: 0, theta: 0
[16:13:47] info: x: 0, y: 0, theta: 0
[16:13:52] info: x: 0, y: 0, theta: 0
[16:13:57] info: x: 0, y: 0, theta: 0
[16:14:02] info: x: 0, y: 0, theta: 0
[16:14:07] info: x: 0, y: 0, theta: 0
[16:14:12] info: x: 0, y: 0, theta: 0
[16:14:17] info: x: 0, y: 0, theta: 0
[16:14:22] info: x: 0, y: 0, theta: 0
[16:14:27] info: x: 0, y: 0, theta: 0
[16:14:32] info: x: 0, y: 0, theta: 0
[16:14:37] info: x: 0, y: 0, theta: 0
[16:14:42] info: x: 0, y: 0, theta: 0
[16:14:47] info: x: 0, y: 0, theta: 0
[16:14:52] info: x: 0, y: 0, theta: 0
[16:14:57] info: x: 0, y: 0, theta: 0
[16:15:02] info: x: 0, y: 0, theta: 0
[16:15:07] info: x: 0, y: 0, theta: 0
[16:15:12] info: x: 0, y: 0, theta: 0
[16:15:17] info: x: 0, y: 0, theta: 0
[16:15:22] info: x: 0, y: 0, theta: 0
[16:15:27] info: x: 0, y: 0, theta: 0
[16:15:32] info: x: 0, y: 0, theta: 0
[16:15:37] info: x: 0, y: 0, theta: 0
[16:15:42] info: x: 0, y: 0, theta: 0
[16:15:47] info: x: 0, y: 0, theta: 0
[16:15:52] info: x: 0, y: 0, theta: 0
[16:15:57] info: x: 0, y: 0, theta: 0
[16:16:02] info: x: 0, y: 0, theta: 0
[16:16:07] info: x: 0, y: 0, theta: 0
[16:16:12] info: x: 0, y: 0, theta: 0
[16:16:17] info: x: 0, y: 0, theta: 0
[16:16:22] info: x: 0, y: 0, theta: 0
[16:16:27] info: x: 0, y: 0, theta: 0
[16:16:32] info: x: 0, y: 0, theta: 0
[16:16:37] info: x: 0, y: 0, theta: 0
[16:16:42] info: x: 0, y: 0, theta: 0
[16:16:47] info: x: 0, y: 0, theta: 0
[16:16:52] info: x: 0, y: 0, theta: 0
[16:16:57] info: x: 0, y: 0, theta: 0
[16:17:02] info: x: 0, y: 0, theta: 0
[16:17:07] info: x: 0, y: 0, theta: 0
[16:17:12] info: x: 0, y: 0, theta: 0
[16:17:17] info: x: 0, y: 0, theta: 0
[16:17:22] info: x: 0, y: 0, theta: 0
[16:17:27] info: x: 0, y: 0, theta: 0
[16:17:32] info: x: 0, y: 0, theta: 0
[16:17:37] info: x: 0, y: 0, theta: 0
[16:17:42] info: x: 0, y: 0, theta: 0
[16:17:47] info: x: 0, y: 0, theta: 0
[16:17:52] info: x: 0, y: 0, theta: 0
[16:17:57] info: x: 0, y: 0, theta: 0
[16:18:02] info: x: 0, y: 0, theta: 0
[16:18:07] info: x: 0, y: 0, theta: 0
[16:18:12] info: x: 0, y: 0, theta: 0
[16:18:17] info: x: 0, y: 0, theta: 0
[16:18:22] info: x: 0, y: 0, theta: 0
[16:18:27] info: x: 0, y: 0, theta: 0
[16:18:32] info: x: 0, y: 0, theta: 0
[16:18:37] info: x: 0, y: 0, theta: 0
[16:18:42] info: x: 0, y: 0, theta: 0
[16:18:47] info: x: 0, y: 0, theta: 0
[16:18:52] info: x: 0, y: 0, theta: 0
[16:18:57] info: x: 0, y: 0, theta: 0
[16:19:02] info: x: 0, y: 0, theta: 0
[16:19:07] info: x: 0, y: 0, theta: 0
[16:19:12] info: x: 0, y: 0, theta: 0
[16:19:17] info: x: 0, y: 0, theta: 0
[16:19:22] info: x: 0, y: 0, theta: 0
[16:19:27] info: x: 0, y: 0, theta: 0
[16:19:32] info: x: 0, y: 0, theta: 0
[16:19:37] info: x: 0, y: 0, theta: 0
[16:19:42] info: x: 0, y: 0, theta: 0
[16:19:47] info: x: 0, y: 0, theta: 0
[16:19:52] info: x: 0, y: 0, theta: 0
[16:19:57] info: x: 0, y: 0, theta: 0
[16:20:02] info: x: 0, y: 0, theta: 0
[16:20:07] info: x: 0, y: 0, theta: 0
[16:20:12] info: x: 0, y: 0, theta: 0
[16:20:17] info: x: 0, y: 0, theta: 0
[16:20:22] info: x: 0, y: 0, theta: 0
[16:20:27] info: x: 0, y: 0, theta: 0
[16:20:32] info: x: 0, y: 0, theta: 0
[16:20:37] info: x: 0, y: 0, theta: 0
[16:20:42] info: x: 0, y: 0, theta: 0
[16:20:47] info: x: 0, y: 0, theta: 0
[16:20:52] info: x: 0, y: 0, theta: 0
[16:20:57] info: x: 0, y: 0, theta: 0
[16:21:02] info: x: 0, y: 0, theta: 0
[16:21:07] info: x: 0, y: 0, theta: 0
[16:21:12] info: x: 0, y: 0, theta: 0
[16:21:17] info: x: 0, y: 0, theta: 0
[16:21:22] info: x: 0, y: 0, theta: 0
[16:21:27] info: x: 0, y: 0, theta: 0
[16:21:32] info: x: 0, y: 0, theta: 0
[16:21:37] info: x: 0, y: 0, theta: 0
[16:21:42] info: x: 0, y: 0, theta: 0
[16:21:47] info: x: 0, y: 0, theta: 0
[16:21:52] info: x: 0, y: 0, theta: 0
[16:21:57] info: x: 0, y: 0, theta: 0
[16:22:02] info: x: 0, y: 0, theta: 0
[16:22:07] info: x: 0, y: 0, theta: 0
[16:22:12] info: x: 0, y: 0, theta: 0
[16:22:17] info: x: 0, y: 0, theta: 0
[16:22:22] info: x: 0, y: 0, theta: 0
[16:22:27] info: x: 0, y: 0, theta: 0
[16:22:32] info: x: 0, y: 0, theta: 0
[16:22:37] info: x: 0, y: 0, theta: 0
[16:22:42] info: x: 0, y: 0, theta: 0
[16:22:47] info: x: 0, y: 0, theta: 0
[16:22:52] info: x: 0, y: 0, theta: 0
[16:22:57] info: x: 0, y: 0, theta: 0
[16:23:02] info: x: 0, y: 0, theta: 0
[16:23:07] info: x: 0, y: 0, theta: 0
[16:23:12] info: x: 0, y: 0, theta: 0
[16:23:17] info: x: 0, y: 0, theta: 0
[16:23:22] info: x: 0, y: 0, theta: 0
[16:23:27] info: x: 0, y: 0, theta: 0
[16:23:32] info: x: 0, y: 0, theta: 0
[16:23:37] info: x: 0, y: 0, theta: 0
[16:23:42] info: x: 0, y: 0, theta: 0
[16:23:47] info: x: 0, y: 0, theta: 0
[16:23:52] info: x: 0, y: 0, theta: 0
[16:23:57] info: x: 0, y: 0, theta: 0
[16:24:02] info: x: 0, y: 0, theta: 0
[16:24:07] info: x: 0, y: 0, theta: 0
[16:24:12] info: x: 0, y: 0, theta: 0
[16:24:17] info: x: 0, y: 0, theta: 0
[16:24:22] info: x: 0, y: 0, theta: 0
[16:24:27] info: x: 0, y: 0, theta: 0
[16:24:32] info: x: 0, y: 0, theta: 0
[16:24:37] info: x: 0, y: 0, theta: 0
[16:24:42] info: x: 0, y: 0, theta: 0
[16:24:47] info: x: 0, y: 0, theta: 0
[16:24:52] info: x: 0, y: 0, theta: 0
[16:24:57] info: x: 0, y: 0, theta: 0
[16:25:02] info: x: 0, y: 0, theta: 0
[16:25:07] info: x: 0, y: 0, theta: 0
[16:25:12] info: x: 0, y: 0, theta: 0
